global_step,mcc,train_loss,eval_loss,acc
2000,-0.0025165188675892545,3.87917423248291,3.922708745986696,0.0
4000,-0.00038860791461423316,3.9358677864074707,3.949217584398058,0.0
6000,0.09968182677746504,3.84656023979187,3.879121693353804,0.09
8000,0.13135206499881005,4.037591457366943,3.739511448239523,0.136
9500,0.20765440612631575,3.4100241661071777,3.5580336858355808,0.212
10000,0.26378748544665775,3.601776599884033,3.486287094297863,0.274
12000,0.33318298084810377,3.6630241870880127,3.219501843528142,0.342
14000,0.3904454894743003,3.755645275115967,2.925355634992085,0.398
16000,0.44522412663232763,1.9321098327636719,2.6208649779122974,0.454
18000,0.7114180084895174,3.2216949462890625,2.276471323437161,0.718
19000,0.6601460354323624,2.047578811645508,2.1087381991129073,0.668
20000,0.7008121765033875,2.9380970001220703,1.923008156201196,0.708
22000,0.7431076536872575,2.244905471801758,1.6204658235822404,0.748
24000,0.7863498724370077,2.3631772994995117,1.2830943115173825,0.79
26000,0.8053058850139467,0.8595107197761536,0.9696933849463387,0.808
28000,0.877875961219215,0.6516662836074829,0.715222283961281,0.884
28500,0.9245314605552823,0.7849600911140442,0.628907001680798,0.93
30000,0.9224441883925977,0.05030599236488342,0.5064207566162896,0.928
32000,0.9266842767163209,0.017443809658288956,0.3934078514575958,0.932
34000,0.941649566442747,0.013936114497482777,0.2853781192430428,0.946
36000,0.9395553284817505,0.053785886615514755,0.23776112949209555,0.944
38000,0.950328785896192,0.7438821792602539,0.22007190541083377,0.954
38000,0.950328785896192,0.7438821792602539,0.22007190541083377,0.954
40000,0.9567173772002622,0.0025346316397190094,0.1891890172181385,0.96
42000,0.9502644296051724,0.015067102387547493,0.20635312403892242,0.954
44000,0.9609995144864951,0.019210126250982285,0.15817963712966987,0.964
46000,0.9631598378152058,0.0011870964663103223,0.1576976593960786,0.966
47500,0.9653440996781804,0.470727801322937,0.16686388721970458,0.968
48000,0.9761565191692779,0.363235741853714,0.12928897202465803,0.978
50000,0.9783127647976458,0.0023017835337668657,0.13346439581789402,0.98
52000,0.9761441907639421,0.0018581758486106992,0.12181599992918708,0.978
54000,0.9783016707782396,0.0009581027552485466,0.1231203679797343,0.98
56000,0.9632104241107847,0.002576129510998726,0.20118378141214924,0.966
57000,0.973981226730684,0.0001802282058633864,0.12960106206157926,0.976
58000,0.9674798994820979,0.00026663561584427953,0.1542553030188188,0.97
60000,0.9739714146753047,0.0005137792322784662,0.16307813565788185,0.976
62000,0.9761789284028752,0.047077715396881104,0.11852761194417585,0.978
64000,0.9718113404600003,0.0004681444843299687,0.168400932391431,0.974
66000,0.9739807484681018,0.0006232702871784568,0.131210792123013,0.976
66500,0.9718234310947587,0.0001248043408850208,0.14976128185420143,0.974
68000,0.9783196172083993,0.00020585325546562672,0.12653318654315265,0.98
70000,0.9739823540551067,0.00020644917094614357,0.1507440380371427,0.976
72000,0.9826210448071899,0.00013505500101018697,0.12955184149985952,0.984
74000,0.9761678859012181,0.00014029949670657516,0.11970719639574535,0.978
76000,0.976134613029321,8.320462075062096e-05,0.1515181890170511,0.978
76000,0.976134613029321,8.320462075062096e-05,0.1515181890170511,0.978
78000,0.9783184791292694,0.00011419598013162613,0.12646316155079393,0.98
80000,0.9783011134762837,4.279521817807108e-05,0.11454416037569957,0.98
82000,0.980475344526687,0.0002862997353076935,0.12182678827403357,0.982
84000,0.9804693817263526,0.00011383838864276186,0.10991066961639537,0.982
85500,0.980475344526687,0.0005247407825663686,0.11682954276087305,0.982
86000,0.9783142272252097,0.00010322991875000298,0.1164503231201028,0.98
88000,0.980475344526687,5.6503606174374e-05,0.11245691230948386,0.982
90000,0.980475344526687,3.7431014789035544e-05,0.11882567260262375,0.982
92000,0.980475344526687,0.00012957210128661245,0.12559387484199963,0.982
94000,0.980475344526687,4.124556289752945e-05,0.11763838991585847,0.982
95000,0.980475344526687,3.969590397900902e-05,0.11897389728348196,0.982
